Date,Open,High,Low,Close,Volume
2016-09-09,6.6144,6.9627,6.6144,6.9627,13408
2016-09-12,6.9627,7.0322,6.8858,7.0322,43113
2016-09-13,7.0388,7.0388,6.7953,7.0322,23909
2016-09-14,7.1017,7.241,6.9692,7.241,11482
2016-09-15,7.1713,7.241,7.1366,7.1366,6140
2016-09-16,6.9207,7.0946,6.8998,7.0946,1251
2016-09-19,7.241,7.241,6.7606,7.1017,59824
2016-09-20,7.1017,7.1017,6.8302,6.9627,7278
2016-09-21,7.1989,7.1989,6.6561,6.9555,4880
2016-09-22,6.9489,7.2344,6.9489,6.9627,1902
2016-09-23,6.7953,7.2344,6.7953,6.9627,14502
2016-09-26,6.865,7.2271,6.865,7.0946,31367
2016-09-27,6.8789,7.1713,6.8789,7.1366,8285
2016-09-28,7.1641,7.241,6.8998,7.2344,15411
2016-09-29,7.0039,7.1989,7.0039,7.1713,18617
2016-09-30,7.2061,7.3105,6.9627,7.2061,73810
2016-10-03,7.241,7.241,7.0388,7.0388,3539
2016-10-04,7.0388,7.0388,6.4751,6.7327,48774
2016-10-05,6.6144,6.872,6.6144,6.8163,1275
2016-10-06,6.8094,6.8094,6.7048,6.7189,449
2016-10-07,6.6841,6.865,6.4821,6.4821,5609
2016-10-10,6.4055,6.6144,6.4055,6.6144,486
2016-10-11,6.3986,6.5795,6.2315,6.2315,44670
2016-10-12,6.2245,6.6004,6.1062,6.2245,12157
2016-10-13,6.1618,6.3777,6.1618,6.3777,361
2016-10-14,6.1687,6.6075,6.1687,6.322,1755
2016-10-17,6.2662,6.3149,6.1618,6.2662,60365
2016-10-18,6.2662,6.5448,4.5743,4.8737,669575
2016-10-19,4.8458,5.2984,4.6301,4.7971,407446
2016-10-20,4.7484,5.1454,4.7484,5.006,91258
2016-10-21,5.0756,5.0756,4.8877,5.0408,516879
2016-10-24,4.9295,5.5562,4.9295,5.2218,2212098
2016-10-25,5.5491,5.5491,5.1036,5.5003,705914
2016-10-26,5.5562,5.9181,5.5213,5.57,191108
2016-10-27,5.7093,5.7093,5.4516,5.57,71316
2016-10-28,5.6049,5.6049,5.4309,5.57,2313
2016-10-31,5.57,5.6049,5.4656,5.5074,10362
2016-11-02,5.7023,5.7023,5.4656,5.563,6930
2016-11-03,5.4309,5.57,5.2914,5.57,70834
2016-11-04,5.6395,5.9042,5.5143,5.9042,72902
2016-11-07,5.9181,5.9181,5.6118,5.7788,1945
2016-11-08,5.5839,5.8276,5.57,5.8276,1454
2016-11-09,5.5839,5.8276,5.57,5.8276,283312
2016-11-10,5.8207,5.8207,5.5769,5.5769,8181
2016-11-14,5.5421,5.6395,5.396,5.4933,2308
2016-11-15,5.4309,5.8416,5.4168,5.7441,1739
2016-11-16,5.772,5.772,5.3681,5.4933,2450
2016-11-17,5.4309,5.5143,5.2218,5.2218,8126
2016-11-18,5.2218,5.6745,5.2218,5.5353,1891
2016-11-21,5.6118,5.6118,5.6118,5.6118,84
2016-11-22,5.563,5.6118,5.3124,5.57,1769
2016-11-23,5.57,5.57,5.3612,5.57,9499
2016-11-24,5.563,5.6395,5.4029,5.6395,7150
2016-11-25,5.5421,5.7093,5.5421,5.7093,2717
2016-11-28,5.7093,5.7162,5.6049,5.7093,360
2016-11-29,5.7093,5.9669,5.5769,5.9669,15633
2016-11-30,5.9669,5.9669,5.7441,5.9042,19312
2016-12-01,5.8207,6.2662,5.5979,5.5979,24742
2016-12-02,5.7162,5.9181,5.7162,5.8416,1319
2016-12-05,5.6883,5.7928,5.6606,5.7928,706
2016-12-06,5.6536,5.8485,5.4377,5.4656,42820
2016-12-07,5.4587,5.4587,5.1313,5.1592,564911
2016-12-08,5.201,5.201,5.1313,5.201,5398
2016-12-09,5.1871,5.1871,4.9364,5.006,37394
2016-12-12,4.9503,5.0408,4.8528,4.8528,389148
2016-12-13,4.9156,5.0826,4.8668,5.0479,5388
2016-12-14,4.8807,5.1036,4.8528,4.8528,12061
2016-12-15,4.8737,4.9434,4.8737,4.8807,5746
2016-12-16,4.8737,4.8877,4.8737,4.8737,8158
2016-12-19,4.8737,4.8807,4.6997,4.7345,81524
2016-12-20,4.8041,4.9992,4.7694,4.9992,9718
2016-12-21,4.9434,5.0756,4.9434,5.0756,6335
2016-12-22,5.013,5.013,4.9434,4.9434,2283
2016-12-23,4.9434,4.9434,4.8737,4.8737,4356
2016-12-27,4.8737,4.8737,4.8041,4.839,11947
2016-12-28,4.839,4.839,4.6997,4.6997,9668
2016-12-29,4.7066,4.839,4.6997,4.7971,4436
2016-12-30,4.8458,4.8528,4.7345,4.8528,6276
2017-01-02,4.7345,5.013,4.7345,5.013,406
2017-01-03,5.013,5.013,4.8807,4.9921,262
2017-01-04,4.8877,4.9992,4.8599,4.9224,21992
2017-01-05,4.9295,5.006,4.9295,5.006,5869
2017-01-09,5.006,5.1871,5.006,5.1313,6000
2017-01-10,5.1313,5.1313,4.9434,5.0269,3718
2017-01-11,5.0826,5.201,5.0479,5.201,23238
2017-01-12,5.1661,5.7093,5.1661,5.7093,16442
2017-01-13,5.7093,5.7093,5.3751,5.4796,7787
2017-01-16,5.5003,5.5003,5.0965,5.3751,6960
2017-01-17,5.3751,5.5491,5.1592,5.5491,1169
2017-01-18,5.5491,5.57,5.3263,5.57,6980
2017-01-19,5.6049,5.6049,5.4309,5.4309,1525
2017-01-20,5.4309,5.4309,5.2914,5.2914,7588
2017-01-23,5.4933,5.5003,5.2358,5.2498,2267
2017-01-24,5.2427,5.9808,5.2427,5.8485,471311
2017-01-25,5.9878,6.0852,5.6049,6.0434,1494589
2017-01-26,6.6144,6.9279,6.4821,6.4821,627825
2017-01-27,6.4751,6.4751,6.1271,6.3777,19691
2017-01-30,6.4194,6.7189,6.3498,6.6561,20893
2017-01-31,6.6841,6.7189,6.2662,6.6979,26187
2017-02-01,6.4821,6.6422,6.4473,6.6422,7100
2017-02-02,6.5795,6.8234,6.5795,6.7118,12545
2017-02-03,6.7397,6.8163,6.6214,6.6214,1558
2017-02-06,6.6283,6.7815,6.4821,6.4821,1607
2017-02-07,6.5379,6.6979,6.3986,6.3986,6235
2017-02-08,6.4682,6.5448,6.4473,6.4542,7502
2017-02-09,6.3986,6.4821,6.3845,6.3917,60323
2017-02-10,6.3917,6.4055,6.3917,6.3986,8590
2017-02-13,6.4055,6.7258,6.4055,6.7189,13122
2017-02-14,6.4751,6.6144,6.1271,6.2662,151428
2017-02-15,6.3777,6.3777,5.9321,6.1271,77186
2017-02-16,6.1271,6.2662,6.1271,6.2593,9511
2017-02-17,6.2315,6.2315,6.1967,6.2315,1177
2017-02-20,6.2315,6.2315,6.2315,6.2315,6
2017-02-22,5.9669,6.2525,5.939,6.2525,6237
2017-02-23,6.0575,6.6144,5.946,6.6144,20413
2017-02-24,6.5587,6.5587,6.5099,6.5099,7194
2017-02-27,6.0783,6.6144,6.0783,6.6144,8720
2017-02-28,6.5308,6.7048,6.5308,6.7048,15974
2017-03-01,6.6841,6.7189,6.3149,6.67,490
2017-03-02,6.6075,6.6075,6.4751,6.4751,158
2017-03-03,6.3707,6.3986,6.3358,6.3358,4186
2017-03-06,6.2733,6.3358,6.1967,6.322,5878
2017-03-07,6.5308,6.5308,6.2037,6.2037,24067
2017-03-09,6.2105,6.2662,6.1967,6.2662,2924
2017-03-10,6.1618,6.1618,6.1618,6.1618,143
2017-03-13,6.4682,6.4682,6.099,6.1618,329
2017-03-14,6.1827,6.2662,6.1271,6.1967,39298
2017-03-15,6.2662,6.2662,6.2662,6.2662,71813
2017-03-16,6.1967,6.2105,6.1967,6.1967,45335
2017-03-17,6.2593,6.3358,6.2037,6.3358,4409
2017-03-20,6.4333,6.6214,6.4333,6.4333,61178
2017-03-21,6.3011,6.4333,6.3011,6.3011,9349
2017-03-22,6.4751,6.4751,6.4751,6.4751,72
2017-03-23,6.4613,6.5448,6.2662,6.4055,6592
2017-03-24,6.4055,6.4055,6.2662,6.4055,2926
2017-03-27,6.2662,6.3986,6.2662,6.3986,1723
2017-03-28,6.4055,6.4055,6.4055,6.4055,13
2017-03-29,6.4055,6.4055,6.4055,6.4055,805
2017-03-30,6.4055,6.4055,6.4055,6.4055,544
2017-03-31,6.4055,6.5308,6.3011,6.3917,14530
2017-04-03,6.4055,6.4055,6.4055,6.4055,432
2017-04-04,6.3707,6.3707,6.2454,6.2871,1158
2017-04-05,6.2175,6.2593,5.6745,6.2593,110843
2017-04-06,6.1131,6.3917,6.0922,6.0922,16820
2017-04-07,6.0922,6.099,6.0922,6.099,918
2017-04-10,5.939,6.0226,5.939,5.9529,36180
2017-04-11,6.2593,6.2593,5.9878,5.9878,3022
2017-04-12,6.0226,6.0226,5.8833,5.9529,4137
2017-04-13,5.9529,5.9529,5.8485,5.8485,3941
2017-04-18,5.9529,5.9529,5.8764,5.8764,2034
2017-04-19,5.8625,5.8625,5.772,5.7788,9748
2017-04-20,5.7511,5.7511,5.6187,5.6327,6135
2017-04-21,5.6187,5.772,5.5353,5.5491,14088
2017-04-24,5.6395,5.8346,5.6395,5.8346,5487
2017-04-25,5.8346,5.8346,5.7788,5.7788,3269
2017-04-26,5.7788,5.7788,5.7231,5.7231,14061
2017-04-27,5.7231,5.7231,5.4656,5.5003,23910
2017-04-28,5.4446,5.5562,5.4029,5.4029,74981
2017-05-02,5.6258,5.7093,5.57,5.7093,3003
2017-05-04,5.6658,5.7238,5.1006,5.5063,16510
2017-05-05,5.5063,5.5063,5.434,5.434,306
2017-05-08,5.3905,5.3977,5.2889,5.3615,9249
2017-05-09,5.3397,5.3397,5.2094,5.2889,75933
2017-05-11,5.2963,5.2963,5.1513,5.1731,5048
2017-05-12,5.1151,5.3615,5.1151,5.3542,3715
2017-05-15,5.1731,5.2889,5.0717,5.1587,136810
2017-05-16,5.0789,5.1224,5.0717,5.0717,9161
2017-05-17,5.0717,5.0717,4.8036,4.9268,97323
2017-05-18,4.8544,4.9268,4.8253,4.9268,45653
2017-05-19,4.8544,5.0644,4.8036,4.8544,48071
2017-05-22,4.8182,5.0717,4.8108,4.8544,11350
2017-05-23,4.8108,5.0717,4.789,4.9123,107342
2017-05-24,5.0717,5.0717,4.8036,4.9341,1363
2017-05-25,4.9341,5.0572,4.8108,4.9195,41307
2017-05-26,4.9557,4.963,4.9557,4.963,75
2017-05-29,5.0644,5.2166,5.0355,5.0355,171638
2017-05-30,4.9992,5.0717,4.9341,5.0644,46608
2017-05-31,4.8108,5.0717,4.8108,5.0717,27611
2017-06-01,4.8471,4.8471,4.8471,4.8471,140
2017-06-02,4.8471,4.8689,4.8253,4.8544,1122
2017-06-05,4.8544,4.8544,4.8544,4.8544,89
2017-06-06,4.9992,4.9992,4.9992,4.9992,414
2017-06-07,4.9992,4.9992,4.8544,4.8544,4351
2017-06-08,4.8544,4.9123,4.8544,4.9123,2077
2017-06-09,4.8108,4.9992,4.8108,4.9992,324
2017-06-12,4.8615,4.9268,4.8544,4.8544,3151
2017-06-13,4.8108,4.9268,4.789,4.789,5023
2017-06-14,4.9486,4.9486,4.7602,4.8905,13703
2017-06-16,4.9557,4.9557,4.9412,4.9412,1674
2017-06-19,4.7818,4.7818,4.7311,4.7311,27737
2017-06-20,4.7311,4.9486,4.7311,4.9268,4362
2017-06-21,4.9268,4.9268,4.7529,4.7529,2283
2017-06-22,4.9195,4.9268,4.7529,4.7529,1105
2017-06-26,4.7457,4.7457,4.7095,4.7095,14703
2017-06-27,4.6804,4.9557,4.6659,4.9557,15440
2017-06-28,4.963,5.0717,4.7602,4.7602,43220
2017-06-29,4.9123,4.9123,4.7311,4.7818,7715
2017-06-30,4.7095,5.0717,4.7095,5.0717,33696
2017-07-03,5.0644,5.0717,4.9992,4.9992,21455
2017-07-04,4.9992,5.0717,4.9992,5.0499,15378
2017-07-05,5.0717,5.0717,4.9992,5.0644,37645
2017-07-06,4.9992,5.3469,4.9992,5.2166,91203
2017-07-07,5.2818,5.2818,5.1441,5.2527,9735
2017-07-10,5.3252,5.3252,4.9412,5.1369,18031
2017-07-11,5.2889,5.2889,4.963,5.1296,31511
2017-07-12,5.2455,5.2455,4.9268,5.1441,2458
2017-07-13,4.963,4.9774,4.4775,4.6008,127292
2017-07-14,4.579,4.579,4.4558,4.492,78090
2017-07-17,4.3834,4.4196,4.282,4.3471,14810
2017-07-18,4.3471,4.4269,4.3399,4.4269,6887
2017-07-19,4.5137,4.5137,4.2746,4.2746,11594
2017-07-20,4.4196,4.4413,4.2892,4.2892,17377
2017-07-21,4.2892,4.2892,3.8618,4.1951,51194
2017-07-24,4.1951,4.1951,3.6226,3.9486,45960
2017-07-25,3.9486,3.9777,3.753,3.753,28951
2017-07-26,3.8979,3.9849,3.7096,3.9486,19518
2017-07-27,4.3109,4.3109,3.9124,3.9849,247962
2017-07-28,3.9849,4.0212,3.8545,3.9849,164910
2017-07-31,4.1299,4.3471,3.9124,3.9124,164885
2017-08-01,4.05,4.05,3.9124,3.9486,19632
2017-08-02,3.9559,3.9849,3.9124,3.9197,6637
2017-08-03,3.9124,3.9124,3.9124,3.9124,30376
2017-08-04,3.9124,3.9124,3.8255,3.8762,73208
2017-08-07,3.8183,3.9704,3.811,3.8979,7033
2017-08-08,3.9124,3.9777,3.9124,3.9704,11880
2017-08-09,3.9632,3.9632,3.8762,3.9632,3861
2017-08-10,3.8472,3.9559,3.84,3.9414,3146
2017-08-11,3.9414,4.0574,3.84,3.9124,52842
2017-08-14,3.9124,4.0574,3.811,3.9486,68039
2017-08-16,3.9704,3.9777,3.8545,3.9777,7987
2017-08-17,3.9777,4.1153,3.9341,4.0645,12893
2017-08-18,4.0645,4.0645,4.0645,4.0645,1326
2017-08-21,3.9341,4.0792,3.9341,4.05,6625
2017-08-22,3.9849,4.0792,3.9486,4.0212,103523
2017-08-23,3.9849,4.0212,3.9559,4.0138,58340
2017-08-24,4.05,4.1878,4.0066,4.05,101201
2017-08-25,4.1805,4.2167,4.05,4.2095,164233
2017-08-28,4.2022,4.2022,4.0863,4.1299,136765
2017-08-29,4.1299,4.1443,3.9994,4.0863,196805
2017-08-30,4.1299,4.166,4.05,4.108,62545
2017-08-31,4.05,4.1008,4.0212,4.0718,49141
2017-09-01,4.1588,4.1588,4.0356,4.0937,1579
2017-09-04,4.0937,4.0937,4.0284,4.0574,1983
2017-09-05,4.1225,4.1225,4.0284,4.0574,1127
2017-09-06,4.0284,4.1153,4.0284,4.1153,2405
2017-09-07,4.0284,4.0863,4.0212,4.0863,6719
2017-09-08,4.0284,4.0284,3.9341,3.9777,17619
2017-09-11,3.9849,4.0429,3.9777,3.9777,1353
2017-09-12,3.84,3.9849,3.84,3.9849,2500
2017-09-13,3.9777,3.9777,3.9777,3.9777,698
2017-09-14,3.9777,3.9777,3.9486,3.9486,950
2017-09-15,3.9704,3.9849,3.8834,3.8834,22705
2017-09-18,3.8907,3.9704,3.8762,3.9414,26367
2017-09-19,3.9124,3.9632,3.8618,3.9486,303
2017-09-20,3.9486,3.9849,3.9486,3.9849,5736
2017-09-21,3.9197,3.9197,3.9197,3.9197,318
2017-09-22,3.9197,3.9197,3.9197,3.9197,6210
2017-09-25,4.0138,4.0138,3.8907,3.8907,5920
2017-09-26,3.9124,3.9849,3.9124,3.9849,92
2017-09-27,3.8689,3.9052,3.8689,3.9052,232
2017-09-28,3.9269,3.9777,3.8689,3.9777,18544
2017-09-29,3.9124,3.9124,3.84,3.9124,16802
2017-10-02,3.9124,3.9124,3.9052,3.9052,2070
2017-10-03,3.9777,3.9777,3.9052,3.9052,3283
2017-10-04,3.84,3.9052,3.84,3.9052,1543
2017-10-05,3.8979,3.8979,3.7747,3.8907,5357
2017-10-06,3.8907,3.8979,3.8907,3.8979,769
2017-10-09,3.84,3.84,3.84,3.84,10374
2017-10-10,3.84,3.84,3.7965,3.7965,3491
2017-10-11,3.7965,3.7965,3.7965,3.7965,782
2017-10-12,3.7965,3.9052,3.7747,3.9052,14335
2017-10-13,3.9052,3.9052,3.6734,3.7022,127378
2017-10-16,3.7168,3.9777,3.514,3.7676,4600130
2017-10-17,3.9632,4.0574,3.695,3.7314,145887
2017-10-18,3.7314,3.8327,3.6081,3.6226,192322
2017-10-19,3.6371,3.6806,3.456,3.4777,178104
2017-10-20,3.5502,3.5502,3.3327,3.3763,48122
2017-10-23,3.4632,3.4995,3.4197,3.4995,2368
2017-10-24,3.4777,3.5863,3.4488,3.4777,353582
2017-10-25,3.8255,3.9414,3.7168,3.7676,356887
2017-10-26,3.7603,3.8327,3.7096,3.7603,66267
2017-10-27,3.8038,3.8038,3.7385,3.7821,32604
2017-10-30,3.7965,3.8183,3.7096,3.7096,475030
2017-10-31,3.753,3.753,3.6226,3.6588,1448487
2017-11-02,3.6806,3.7676,3.6734,3.7168,26353
2017-11-03,3.7676,3.8689,3.7314,3.8689,35369
2017-11-06,3.8762,4.0718,3.8762,3.9486,148215
2017-11-07,3.9849,4.05,3.9052,3.9052,8660
2017-11-08,3.9052,3.9777,3.8038,3.8038,27464
2017-11-09,3.8183,3.9124,3.7458,3.8689,99542
2017-11-10,3.7821,3.9994,3.7096,3.8327,99809
2017-11-13,3.4705,3.4705,2.2895,2.2895,2641444
2017-11-14,2.4634,2.5793,2.3547,2.4053,527243
2017-11-15,2.4271,2.6662,2.4053,2.4634,434165
2017-11-16,2.5358,2.6808,2.5069,2.5503,218155
2017-11-17,2.572,2.5937,2.4128,2.4996,199521
2017-11-20,2.4634,2.6082,2.4634,2.5503,88700
2017-11-21,2.5503,2.572,2.4634,2.5213,457311
2017-11-22,2.572,2.7966,2.4778,2.7895,581539
2017-11-23,2.8257,2.8909,2.6952,2.8909,42858
2017-11-24,2.8257,2.927,2.8257,2.869,39254
2017-11-27,2.7966,3.0285,2.7823,3.0141,280336
2017-11-28,2.9851,3.2821,2.9851,3.2242,207328
2017-11-29,3.2748,3.3327,3.2242,3.2313,253926
2017-11-30,3.2313,3.2966,3.188,3.2966,27410
2017-12-01,3.2604,3.3618,2.9923,3.0575,81937
2017-12-04,2.9777,3.246,2.9197,2.9416,149081
2017-12-05,2.9633,3.0285,2.9633,3.0212,10494
2017-12-06,3.0212,3.0865,2.9633,3.0575,26258
2017-12-07,3.1082,3.2604,3.072,3.1589,47164
2017-12-08,3.1589,3.3039,3.1589,3.2024,107883
2017-12-11,3.188,3.2531,3.188,3.2242,10776
2017-12-12,3.188,3.188,3.1155,3.1299,11720
2017-12-13,3.1227,3.3184,3.1227,3.2966,81739
2017-12-14,3.2893,3.369,3.2096,3.311,91438
2017-12-15,3.2676,3.4197,3.2676,3.3908,66852
2017-12-18,3.3327,3.3327,3.1444,3.2242,62993
2017-12-19,3.2604,3.2604,3.1372,3.1444,76667
2017-12-20,3.1372,3.2024,3.0792,3.1155,85494
2017-12-21,3.188,3.188,3.0792,3.1806,32338
2017-12-22,3.1806,3.1806,3.1155,3.1155,91588
2017-12-27,3.1517,3.1517,3.1155,3.1155,47045
2017-12-28,3.1155,3.2169,3.1155,3.2096,23722
2017-12-29,3.1517,3.2386,3.1517,3.2386,31342
2018-01-03,3.2242,3.2242,3.1734,3.2242,1560
2018-01-04,3.2386,3.3327,3.2386,3.2966,37862
2018-01-05,3.2604,3.2604,3.188,3.2242,9883
2018-01-08,3.2242,3.2242,3.188,3.188,32105
2018-01-09,3.246,3.2676,3.246,3.2676,14297
2018-01-10,3.2676,3.2893,3.2169,3.2893,10460
2018-01-11,3.2676,3.3327,3.2676,3.3327,16535
2018-01-12,3.3618,3.3618,3.3184,3.3401,67862
2018-01-15,3.3327,3.3547,3.2966,3.2966,10490
2018-01-16,3.2966,3.3618,3.2604,3.3618,25822
2018-01-17,3.3618,3.369,3.3327,3.3618,82489
2018-01-18,3.3618,3.5502,3.2966,3.514,68560
2018-01-19,3.5429,3.6155,3.4415,3.5792,15059
2018-01-22,3.6155,3.7096,3.5863,3.6226,27263
2018-01-23,3.6226,3.6226,3.5502,3.5502,14408
2018-01-24,3.5502,3.5792,3.456,3.5792,9489
2018-01-25,3.6008,3.6155,3.5792,3.6008,15428
2018-01-26,3.5937,3.6226,3.5937,3.6008,17151
2018-01-29,3.6008,3.6155,3.6008,3.6155,19687
2018-01-30,3.6008,3.6155,3.5285,3.6155,19500
2018-01-31,3.5356,3.5575,3.5285,3.5575,5201
2018-02-01,3.5356,3.5575,3.4777,3.5575,3464
2018-02-02,3.5429,3.5575,3.5067,3.5575,10525
2018-02-05,3.5429,3.84,3.4777,3.7385,55082
2018-02-06,3.4995,3.695,3.4922,3.6516,79151
2018-02-07,3.753,3.7676,3.5719,3.7676,9692
2018-02-08,3.7965,4.0138,3.7676,3.9124,88489
2018-02-09,3.9849,3.9849,3.811,3.8979,2877
2018-02-12,3.811,3.9414,3.811,3.8545,12565
2018-02-13,3.8545,3.9849,3.7965,3.9849,41366
2018-02-14,3.9849,4.2746,3.9849,4.2313,332147
2018-02-15,4.2746,4.3471,4.1878,4.2022,50432
2018-02-16,4.2602,4.2746,4.1443,4.2746,10884
2018-02-19,4.2746,4.3182,4.0718,4.2602,2636
2018-02-20,4.1588,4.2458,4.1299,4.2458,5971
2018-02-21,4.1733,4.2022,3.9994,4.1733,69502
2018-02-22,4.2602,4.2602,4.1299,4.1878,4120
2018-02-23,4.2022,4.2022,4.1443,4.1443,2140
2018-02-26,4.1299,4.1878,4.1299,4.1733,6406
2018-02-27,4.1443,4.3327,4.1443,4.3327,20009
2018-02-28,4.3182,4.3327,4.1443,4.3327,120218
2018-03-01,4.2313,4.3327,4.1878,4.3037,7126
2018-03-02,4.3037,4.4196,4.3037,4.3327,20882
2018-03-05,4.3471,4.3471,4.2022,4.2746,20942
2018-03-06,4.2746,4.4051,4.2746,4.3761,15790
2018-03-07,4.3907,4.695,4.3761,4.5645,175405
2018-03-08,4.5936,4.6659,4.5066,4.5211,27823
2018-03-09,4.6515,4.6515,4.5645,4.6225,12126
2018-03-12,4.579,4.6369,4.492,4.5356,13461
2018-03-13,4.5645,4.6225,4.5645,4.6225,5797
2018-03-14,4.6369,4.6369,4.4196,4.5211,25310
2018-03-15,4.4631,4.6079,4.4631,4.4775,7044
2018-03-16,4.4486,4.492,4.0718,4.2167,157267
2018-03-19,4.1443,4.2022,4.0574,4.1008,52009
2018-03-20,4.0574,4.3037,4.0574,4.2892,95843
2018-03-21,4.3907,4.4341,4.3182,4.3471,15359
2018-03-22,4.3471,4.3471,4.2313,4.2458,66635
2018-03-23,4.2313,4.2313,4.1588,4.1588,5232
2018-03-26,4.2313,4.3471,4.1588,4.3471,11760
2018-03-27,4.3616,4.4486,3.9269,3.9269,265831
2018-03-28,3.7821,3.9849,3.7096,3.9849,257149
2018-03-29,3.9124,3.9849,3.8689,3.9849,89314
2018-04-03,3.9704,3.9849,3.9704,3.9849,8361
2018-04-04,3.9704,3.9849,3.9704,3.9849,5908
2018-04-05,4.1008,4.1008,4.1008,4.1008,275
2018-04-06,3.9559,4.1588,3.9559,4.1588,6888
